DATE      	FRAC INTERCEP  	AG RES BIOMASS 	BG RES BIOMASS 	ROOT RES BIOMASS	SFC MANURE C   	AG RES N       	BG RES N       	ROOT RES N     	SFC MANURE N   	STD RES MOIST  	FLAT RES MOIST 
2000-09-21	0.0279         	0.0712         	0.1473         	0.0569         	0.00000        	0.00053        	0.00109        	0.00056        	0.00000        	0.00000        	0.00000        
2000-09-22	0.0273         	0.0694         	0.1437         	0.0557         	0.00000        	0.00052        	0.00106        	0.00055        	0.00000        	0.00000        	0.00000        
2000-09-23	0.0266         	0.0681         	0.1408         	0.0547         	0.00000        	0.00051        	0.00104        	0.00054        	0.00000        	0.00000        	0.00000        
2000-09-24	0.0261         	0.0669         	0.1382         	0.0538         	0.00000        	0.00050        	0.00102        	0.00053        	0.00000        	0.00000        	0.00000        
2000-09-25	0.0256         	0.0658         	0.1357         	0.0529         	0.00000        	0.00049        	0.00101        	0.00052        	0.00000        	0.00000        	0.00000        
2000-09-26	0.0252         	0.0646         	0.1333         	0.0520         	0.00000        	0.00048        	0.00099        	0.00051        	0.00000        	0.00000        	0.08058        
2000-09-27	0.0248         	0.0637         	0.1314         	0.0514         	0.00000        	0.00048        	0.00097        	0.00050        	0.00000        	0.00000        	0.55983        
2000-09-28	0.0245         	0.0630         	0.1298         	0.0506         	0.00000        	0.00047        	0.00096        	0.00050        	0.00000        	0.00000        	0.39510        
2000-09-29	0.0242         	0.0621         	0.1279         	0.0499         	0.00000        	0.00046        	0.00095        	0.00049        	0.00000        	0.00000        	0.33554        
2000-09-30	0.9498         	10.5779        	0.1265         	3.0157         	0.00000        	0.07266        	0.00094        	0.02642        	0.00000        	0.27556        	0.29721        
2000-10-01	0.9488         	10.5038        	0.1252         	2.9784         	0.00000        	0.07215        	0.00093        	0.02610        	0.00000        	0.23386        	0.26610        
2000-10-02	0.9479         	10.4950        	0.1243         	2.9449         	0.00000        	0.07209        	0.00092        	0.02580        	0.00000        	0.20871        	0.24502        
2000-10-03	0.9477         	10.4824        	0.1233         	2.9089         	0.00000        	0.07201        	0.00091        	0.02549        	0.00000        	0.18552        	0.22424        
2000-10-04	0.9476         	10.4671        	0.1221         	2.8688         	0.00000        	0.07190        	0.00090        	0.02514        	0.00000        	0.16082        	0.20072        
